"id","unidade","turma","idade","sexo","peso","altura"
"111","Aldeia","pjd1at","15","F","62.7","1.59"
"112","Aldeia","pjd1at","15","F","66.1","1.72"
"113","Aldeia","pjd1at","15","M","69.3","1.76"
"114","Aldeia","pjd1at","14","M","62.7","1.83"
"115","Aldeia","pjd1at","15","M","57.7","1.67"
"116","Aldeia","pjd1at","15","M","",""
"117","Aldeia","pjd1at","15","M","74.7","1.92"
"118","Aldeia","pjd1at","15","M","60.5","1.7"
"119","Aldeia","pjd1at","15","M","",""
"120","Aldeia","pjd1at","15","F","",""
"121","Aldeia","pjd1at","15","M","52.2","1.7"
"122","Alphaville","dsi1at","15","F","53.3","1.64"
"123","Alphaville","dsi1at","15","F","47.0","1.51"
"124","Alphaville","dsi1at","15","F","60.5","1.69"
"15","Alphaville","dsi1at","15","F","62.3","1.57"
"126","Alphaville","dsi1at","16","M","38.5","1.56"
"127","Alphaville","dsi1at","17","F","61.5","1.62"
"128","Alphaville","dsi1at","15","M","47.8","1.58"
"129","Alphaville","dsi1at","15","M","52.5","1.66"
"130","Alphaville","dsi1at","16","M","78.8","1.62"
"131","Alphaville","dsi1at","15","F","63.7","1.67"
"132","Alphaville","dsi1at","15","F","51.6","1.74"
"133","Alphaville","dsi1at","15","F","63.1","1.60"
"134","Alphaville","dsi1at","16","F","67.4","1.69"
"135","Alphaville","dsi1at","17","M","45.8","1.55"
"136","Alphaville","dsi1at","16","F","45.5","1.50"
"137","Alphaville","dsi1at","16","F","66.1","1.65"
"138","Alphaville","dsi1at","15","F","53.6","1.49"
"139","Alphaville","dsi1at","15","M","53.0","1.61"
"140","Alphaville","dsi1at","15","F","68.7","1.58"
"141","Alphaville","dsi1at","15","F","67.7","1.67"
"142","Alphaville","dsi1at","15","F","48.1","1.55"
"143","Alphaville","dsi1at","16","F","40.6","1.57"
"144","Alphaville","dsi1at","16","F","40.7","1.49"
"145","Alphaville","dsi1at","15","M","66.1","1.5"
"146","Alphaville","dsi1at","16","F","54.2","1.58"
"147","Alphaville","dsi1at","16","F","46.6","1.54"
"148","Alphaville","dsi1at","16","F","62.2","1.56"
"149","Alphaville","dsi1at","16","F","49.3","1.54"
"150","Alphaville","dsi1at","16","F","50.7","1.65"
"151","Alphaville","dsi1at","17","M","46.2","1.58"
"152","Alphaville","dsi1at","16","F","41.8","1.61"
"153","Alphaville","dsi1at","15","M","44.8","1.56"
"154","Alphaville","dsi1at","15","M","72.7","1.74"
"155","Alphaville","dsi1at","15","F","89.9","1.58"
"156","Alphaville","dsi1at","15","F","47.6","1.56"
"157","Alphaville","dsi1at","15","F","43.6","1.46"
"158","Alphaville","dsi1at","16","F","51.6","1.51"
"159","Alphaville","dsi1at","16","M","59.9","1.62"
"160","Alphaville","dsi1at","15","F","60.0","1.53"
"161","Alphaville","dsi1bt","16","F","74.2","1.51"
"162","Alphaville","dsi1bt","17","F","58.9","1.60"
"163","Alphaville","dsi1bt","16","F","50.5","1.54"
"164","Alphaville","dsi1bt","15","M","45.2","1.53"
"165","Alphaville","dsi1bt","18","F","64.9","1.71"
"166","Alphaville","dsi1bt","16","F","64.6","1.70"
"167","Alphaville","dsi1bt","16","F","36.3","1.52"
"168","Alphaville","dsi1bt","16","F","",""
"169","Alphaville","dsi1bt","16","F","51.6","1.52"
"170","Alphaville","dsi1bt","15","F","60.4","1.72"
"171","Alphaville","dsi1bt","15","F","72.5","1.65"
"172","Alphaville","dsi1bt","16","F","56.2","1.66"
"173","Alphaville","dsi1bt","17","F","86.5","1.53"
"174","Alphaville","dsi1bt","17","F","51.7","1.59"
"175","Alphaville","dsi1bt","15","F","80.8","1.77"
"176","Alphaville","dsi1bt","15","F","46.5","1.53"
"177","Alphaville","dsi1bt","16","F","87.3","1.61"
"178","Alphaville","dsi1bt","15","F","64.8","1.59"
"179","Alphaville","dsi1bt","16","F","57.6","1.60"
"180","Alphaville","dsi1bt","15","F","104.0","1.70"
"181","Alphaville","dsi1bt","15","F","47.3","1.37"
"182","Alphaville","dsi1bt","15","F","47.6","1.54"
"183","Alphaville","dsi1bt","16","M","47.4","1.69"
"184","Alphaville","dsi1bt","16","F","59.2","1.80"
"185","Alphaville","dsi1bt","15","M","52.2","1.56"
"186","Alphaville","dsi1bt","16","F","57.4","1.52"
"187","Alphaville","dsi1bt","16","M","59.7","1.65"
"188","Alphaville","dsi1bt","15","F","58.9","1.52"
"189","Alphaville","dsi1bt","15","F","",""
"190","Alphaville","dsi1bt","16","F","",""
"191","Alphaville","dsi1bt","15","F","42.0","1.57"
"192","Alphaville","dsi1bt","16","M","57.4","1.59"
"193","Alphaville","dsi1bt","15","M","71.0","1.63"
"194","Alphaville","dsi1bt","16","M","42.4","1.52"
"195","Alphaville","dsi1bt","16","F","51.3","1.52"
"196","Alphaville","dsi1bt","16","F","55.9","1.56"
"197","Alphaville","dsi1bt","16","F","61.0","1.60"
"198","Alphaville","enm1am","15","F","63.4","1.48"
"199","Alphaville","enm1am","15","F","75.5","1.63"
"200","Alphaville","enm1am","16","M","",""
"201","Alphaville","enm1am","15","M","60.7","1.76"
"202","Alphaville","enm1am","16","M","60.7","1.81"
"203","Alphaville","enm1am","15","M","60","1.67"
"204","Alphaville","enm1am","16","F","55.4","1.54"
"205","Alphaville","enm1am","15","M","53.4","1.68"
"206","Alphaville","enm1am","15","M","65","1.74"
"207","Alphaville","enm1am","16","F","54.4","1.7"
"208","Alphaville","enm1am","17","M","69.9","1.73"
"209","Alphaville","enm1am","16","M","119.4","1.82"
"210","Alphaville","enm1am","15","M","59.9","1.76"
"211","Alphaville","enm1am","16","F","60.4","1.69"
"212","Alphaville","enm1am","16","F","84.5","1.66"
"213","Alphaville","enm1am","16","M","66.2","1.73"
"214","Alphaville","enm1am","16","M","66.6","1.75"
"215","Alphaville","enm1am","16","M","64.7","1.7"
"216","Alphaville","enm1am","17","M","68.4","1.7"
"217","Alphaville","enm1am","15","M","79.6","1.66"
"218","Alphaville","enm1am","16","F","54","1.64"
"219","Alphaville","enm1am","16","F","",""
"220","Alphaville","enm1bm","16","F","61.0","1.58"
"221","Alphaville","enm1bm","16","F","61.0","1.69"
"222","Alphaville","enm1bm","16","F","43.6","1.63"
"223","Alphaville","enm1bm","16","M","67.4","1.77"
"224","Alphaville","enm1bm","15","M","72.0","1.76"
"225","Alphaville","enm1bm","16","F","64.9","1.5"
"226","Alphaville","enm1bm","15","M","61.0","1.64"
"227","Alphaville","enm1bm","15","M","68.4","1.86"
"228","Alphaville","enm1bm","16","F","59.0","1.56"
"229","Alphaville","enm1bm","16","M","69.0","1.71"
"230","Alphaville","enm1bm","16","M","63.0","1.82"
"231","Alphaville","enm1bm","16","M","105.0","1.76"
"232","Alphaville","enm1bm","16","F","58.4","1.59"
"233","Alphaville","enm1bm","16","F","50.0","1.67"
"234","Alphaville","enm1bm","16","F","54.0","1.59"
"235","Alphaville","enm1bm","16","F","57.9","1.67"
"236","Alphaville","enm1bm","16","F","",""
"237","Alphaville","enm1bm","16","F","54.0","1.5"
"238","Alphaville","enm1bm","16","F","64.8","1.59"
"239","Alphaville","enm1bm","15","M","51.0","1.66"
"240","Alphaville","enm1cm","16","F","57.9","1.57"
"241","Alphaville","enm1cm","15","F","84.0","1.63"
"242","Alphaville","enm1cm","16","F","46.4","1.59"
"243","Alphaville","enm1cm","16","F","47.2","1.58"
"244","Alphaville","enm1cm","16","M","53.5","1.66"
"245","Alphaville","enm1cm","15","M","76.5","1.69"
"246","Alphaville","enm1cm","15","F","",""
"247","Alphaville","enm1cm","16","F","57.3","1.66"
"248","Alphaville","enm1cm","16","F","63.9","1.6"
"249","Alphaville","enm1cm","16","M","76.0","1.87"
"250","Alphaville","enm1cm","15","M","105.0","1.82"
"251","Alphaville","enm1cm","16","M","66.7","1.82"
"252","Alphaville","enm1cm","16","M","68.8","1.82"
"253","Alphaville","enm1cm","16","F","47.9","1.59"
"254","Alphaville","enm1cm","16","F","48.0","1.58"
"255","Alphaville","enm1cm","15","F","62.3","1.59"
"256","Alphaville","enm1cm","16","F","53.0","1.6"
"257","Alphaville","enm1cm","15","M","52.8","1.69"
"258","Alphaville","enm1cm","15","M","69.6","1.69"
"259","Alphaville","enm1cm","15","M","60.5","1.71"
"260","Alphaville","enm1cm","16","M","63.6","1.73"
"261","Alphaville","enm1cm","15","F","42.4","1.53"
"262","Alphaville","enm1cm","16","F","",""
"263","Alphaville","enm1cm","16","F","62.6","1.65"
"264","Alphaville","enm1cm","16","F","49.9","1.53"
"265","Alphaville","enm1cm","16","M","68.0","1.78"
"266","Alphaville","enm1cm","16","M","67.0","1.73"
"267","Alphaville","enm1cm","15","M","55.6","1.74"
"268","Alphaville","enm1cm","16","M","51.8","1.73"
"269","Alphaville","enm1cm","15","M","56.2","1.68"
"270","Alphaville","enm1cm","15","F","50.6","1.54"
"271","Alphaville","enm1cm","16","F","48.2","1.55"
"272","Alphaville","enm1cm","15","M","71.2","1.78"
"273","Alphaville","enm1cm","15","F","78.8","1.65"
"274","Alphaville","enm1cm","16","F","63.9","1.57"
"275","Alphaville","enm1dm","15","F","63","1.78"
"276","Alphaville","enm1dm","15","F","67.6","1.7"
"277","Alphaville","enm1dm","16","M","",""
"278","Alphaville","enm1dm","15","M","",""
"279","Alphaville","enm1dm","16","F","51.6","1.66"
"280","Alphaville","enm1dm","16","M","47.5","1.66"
"281","Alphaville","enm1dm","16","M","69.7","1.75"
"282","Alphaville","enm1dm","16","M","56.5","1.69"
"283","Alphaville","enm1dm","15","M","",""
"284","Alphaville","enm1dm","16","F","52.5","1.56"
"285","Alphaville","enm1dm","15","F","45.3","1.55"
"286","Alphaville","enm1dm","17","F","66.8","1.69"
"287","Alphaville","enm1dm","16","F","57.5","1.68"
"288","Alphaville","enm1dm","15","F","60","1.64"
"289","Alphaville","enm1dm","16","F","44.9","1.51"
"290","Alphaville","enm1dm","15","F","48","1.64"
"291","Alphaville","enm1dm","15","M","56.1","1.74"
"292","Alphaville","enm1dm","16","M","46.2","1.65"
"293","Alphaville","enm1dm","16","F","65.9","1.67"
"294","Alphaville","enm1dm","17","M","112.3","1.74"
"295","Alphaville","enm1dm","17","M","126.3","1.73"
"296","Alphaville","enm1dm","16","F","49.4","1.55"
"297","Alphaville","enm1dm","15","M","58.6","1.75"
"298","Alphaville","enm1dm","14","M","49.6","1.67"
"299","Alphaville","enm1dm","16","M","57.4","1.68"
"300","Alphaville","enm1dm","16","F","59.3","1.55"
"301","Alphaville","enm1dm","15","M","53.9","1.75"
"302","Alphaville","enm1dm","15","M","55.3","1.78"
"303","Alphaville","enm1em","16","F","",""
"304","Alphaville","enm1em","16","M","51.9","1.66"
"305","Alphaville","enm1em","15","F","65.2","1.68"
"306","Alphaville","enm1em","15","M","50","1.64"
"307","Alphaville","enm1em","15","F","69.7","1.66"
"308","Alphaville","enm1em","16","F","52.1","1.6"
"309","Alphaville","enm1em","15","F","62.2","1.55"
"310","Alphaville","enm1em","17","M","63.5","1.74"
"311","Alphaville","enm1em","16","M","94.9","1.67"
"312","Alphaville","enm1em","16","F","53","1.61"
"313","Alphaville","enm1em","16","M","63.3","1.77"
"314","Alphaville","enm1em","15","F","54.2","1.67"
"315","Alphaville","enm1em","15","F","54","1.61"
"316","Alphaville","enm1em","15","F","57.7","1.66"
"317","Alphaville","enm1em","16","M","91.1","1.77"
"318","Alphaville","enm1em","16","F","60","1.67"
"319","Alphaville","enm1em","16","F","57.3","1.56"
"320","Alphaville","enm1em","15","F","65.7","1.75"
"321","Alphaville","enm1em","16","F","48.5","1.56"
"322","Alphaville","enm1em","15","M","104.3","1.77"
"323","Alphaville","enm1em","16","M","87.1","1.78"
"324","Alphaville","enm1em","16","F","52.7","1.69"
"325","Alphaville","enm1em","15","F","62.8","1.65"
"326","Alphaville","enm1em","16","F","63.4","1.63"
"327","Alphaville","enm1em","16","F","66.6","1.64"
"328","Alphaville","enm1em","16","M","66.2","1.8"
"329","Alphaville","enm1fm","15","F","54.0","1.66"
"330","Alphaville","enm1fm","16","F","67.0","1.62"
"331","Alphaville","enm1fm","15","M","64.6","1.76"
"332","Alphaville","enm1fm","16","F","54.9","1.62"
"333","Alphaville","enm1fm","16","M","75.0","1.81"
"334","Alphaville","enm1fm","16","F","48.3","1.52"
"335","Alphaville","enm1fm","16","F","43.0","1.57"
"336","Alphaville","enm1fm","16","M","48.4","1.7"
"337","Alphaville","enm1fm","16","M","0.0",""
"338","Alphaville","enm1fm","15","M","60.0","1.72"
"339","Alphaville","enm1fm","16","M","52.0","1.76"
"340","Alphaville","enm1fm","16","F","45.0","1.52"
"341","Alphaville","enm1fm","15","F","75.0","1.66"
"342","Alphaville","enm1fm","15","F","62.0","1.58"
"343","Alphaville","enm1fm","16","M","56.0","1.74"
"344","Alphaville","enm1fm","16","F","55.0","1.63"
"345","Alphaville","enm1fm","15","M","66.0","1.83"
"346","Alphaville","enm1fm","17","M","102.0","1.88"
"347","Alphaville","enm1fm","16","M","70.0","1.8"
"348","Alphaville","enm1fm","15","M","61.0","1.75"
"349","Alphaville","enm1fm","15","M","60.0","1.69"
"350","Alphaville","enm1fm","15","F","42.0","1.62"
"351","Alphaville","enm1fm","15","M","63.0","1.69"
"352","Alphaville","enm1fm","16","M","68.0","1.62"
"353","Alphaville","enm1fm","16","F","85.0","1.75"
"354","Alphaville","enm1fm","16","F","49.9","1.52"
"355","Alphaville","enm1fm","16","M","55.0","1.68"
"356","Alphaville","enm1fm","16","F","90.0","1.58"
"357","Alphaville","pub1at","16","F","",""
"358","Alphaville","pub1at","15","F","46.1","1.57"
"359","Alphaville","pub1at","16","F","97.8","1.68"
"360","Alphaville","pub1at","15","M","",""
"361","Alphaville","pub1at","16","M","",""
"362","Alphaville","pub1at","15","F","81.9","1.69"
"363","Alphaville","pub1at","16","F","52.2","1.59"
"364","Alphaville","pub1at","15","M","42.8","1.68"
"365","Alphaville","pub1at","16","M","55.1","1.71"
"366","Alphaville","pub1at","16","F","103.9","1.68"
"367","Alphaville","pub1at","15","F","47.5","1.7"
"368","Alphaville","pub1at","15","F","38.6","1.55"
"369","Alphaville","pub1at","16","F","69.2","1.65"
"370","Alphaville","pub1at","16","F","49.5","1.66"
"371","Alphaville","pub1at","15","M","75.9","1.77"
"372","Alphaville","pub1at","16","F","55","1.64"
"373","Alphaville","pub1at","15","F","39.4","1.6"
"374","Alphaville","pub1at","15","F","72.3","1.65"
"375","Alphaville","pub1at","15","F","60.7","1.67"
"376","Alphaville","pub1at","15","M","63.5","1.79"
"377","Alphaville","pub1at","15","F","53.7","1.68"
"378","Alphaville","pub1at","15","F","50.2","1.54"
"379","Alphaville","pub1at","16","F","71.1","1.67"
"380","Alphaville","pub1at","16","F","57.4","1.61"
"381","Alphaville","pub1at","15","F","52.2","1.62"
"382","Alphaville","pub1at","16","F","43","1.54"
"383","Alphaville","pub1at","16","F","62.8","1.62"
"384","Alphaville","pub1at","15","F","49.5","1.68"
"385","Alphaville","pub1at","16","F","44.4","1.5"
"386","Alphaville","pub1at","16","M","77.5","1.8"
"387","Alphaville","pub1at","16","F","71.9","1.67"
"388","Alphaville","pub1at","15","F","63.7","1.58"
"389","Alphaville","pub1at","16","F","52.1","1.59"
"390","Alphaville","pub1at","15","F","44.1","1.55"
"391","Alphaville","pub1bt","15","F","54.8","1.64"
"392","Alphaville","pub1bt","16","F","56.2","1.61"
"393","Alphaville","pub1bt","15","F","57.4","1.72"
"394","Alphaville","pub1bt","15","F","59.3","1.62"
"395","Alphaville","pub1bt","16","F","47.80","1.56"
"396","Alphaville","pub1bt","16","M","47.6","1.74"
"397","Alphaville","pub1bt","16","M","58.7","1.69"
"398","Alphaville","pub1bt","16","M","62.5","1.77"
"399","Alphaville","pub1bt","16","M","63","1.8"
"400","Alphaville","pub1bt","16","F","72.4","1.79"
"401","Alphaville","pub1bt","15","M","61.5","1.83"
"402","Alphaville","pub1bt","16","F","59.50","1.61"
"403","Alphaville","pub1bt","15","F","56.90","1.64"
"404","Alphaville","pub1bt","16","F","40.50","1.63"
"405","Alphaville","pub1bt","15","M","52.10","1.77"
"406","Alphaville","pub1bt","16","F","50.4","1.59"
"407","Alphaville","pub1bt","15","F","52.7","1.6"
"408","Alphaville","pub1bt","15","F","60","1.71"
"409","Alphaville","pub1bt","15","M","54.90","1.64"
"410","Alphaville","pub1bt","16","F","52.1","1.64"
"411","Alphaville","pub1bt","15","F","58.4","1.61"
"412","Alphaville","pub1bt","16","F","56.70","1.64"
"413","Alphaville","pub1bt","15","F","60.80","1.53"
"414","Alphaville","pub1bt","15","F","70.80","1.64"
"415","Alphaville","pub1bt","16","F","82.8","1.6"
"416","Alphaville","pub1bt","16","F","48.50","1.61"
"417","Alphaville","pub1bt","15","M","65.70","1.71"
"418","Alphaville","pub1bt","15","M","57.60","1.74"
"419","Alphaville","pub1bt","16","M","69.40","1.80"
"420","Alphaville","pub1bt","16","M","56.60","1.72"
"421","Alphaville","pub1bt","15","F","",""
"422","Alphaville","pub1bt","15","F","48.70","1.65"
"423","Alphaville","pub1bt","16","M","129.80","1.82"
"424","Alphaville","pub1bt","15","F","74.80","1.61"
"425","Alphaville","pub1bt","15","F","",""
"426","Belval","edf1at","17","M","69.9","1.92"
"427","Belval","edf1at","15","F","50.3","1.52"
"428","Belval","edf1at","15","F","42.4","1.51"
"429","Belval","edf1at","15","F","40.2","1.55"
"430","Belval","edf1at","16","M","57","1.74"
"431","Belval","edf1at","15","M","102.1","1.79"
"432","Belval","edf1at","15","F","49.5","1.6"
"433","Belval","edf1at","16","F","",""
"434","Belval","edf1at","16","M","79.4","1.74"
"435","Belval","edf1at","15","M","49.9","1.73"
"436","Belval","edf1at","15","M","49.3","1.77"
"437","Belval","edf1at","16","M","54.9","1.73"
"438","Belval","edf1at","16","F","60.6","1.56"
"439","Belval","edf1at","15","F","50.3","1.51"
"440","Belval","edf1at","16","M","65.2","1.7"
"441","Belval","edf1at","16","F","62.4","1.61"
"442","Belval","edf1at","15","M","56.6","1.79"
"443","Belval","edf1at","16","M","60.5","1.72"
"444","Belval","edf1at","16","M","71","1.76"
"445","Belval","edf1at","15","M","46.8","1.67"
"446","Belval","edf1at","16","F","52.9","1.66"
"447","Belval","edf1at","16","F","79.4","1.65"
"448","Belval","edf1at","15","M","57.3","1.74"
"449","Belval","edf1at","15","M","74.1","1.76"
"450","Belval","edf1at","15","M","",""
"451","Belval","edf1at","16","M","54.1","1.73"
"452","Belval","edf1at","16","F","81.8","1.69"
"453","Belval","edf1at","15","F","53.2","1.57"
"454","Belval","edf1at","16","F","56.8","1.62"
"455","Belval","edf1at","15","M","88.9","1.7"
"456","Belval","edf1at","16","M","60","1.77"
"457","Belval","edf1at","16","F","77.5","1.77"
"458","Belval","edf1at","15","F","39.6","1.56"
"459","Belval","edf1at","15","M","42","1.7"
"460","Belval","edf1at","15","M","77.4","1.77"
"461","Belval","edf1at","16","F","66","1.65"
"462","Belval","edf1at","16","F","55.3","1.63"
"463","Belval","edf1bt","17","M","59.1","1.75"
"464","Belval","edf1bt","15","M","68.4","1.86"
"465","Belval","edf1bt","15","M","115.6","1.84"
"466","Belval","edf1bt","16","M","135","1.75"
"467","Belval","edf1bt","16","M","",""
"468","Belval","edf1bt","16","M","54.3","1.68"
"469","Belval","edf1bt","17","M","79.1","1.79"
"470","Belval","edf1bt","16","F","51.3","1.72"
"471","Belval","edf1bt","16","M","46","1.66"
"472","Belval","edf1bt","15","M","43.6","1.65"
"473","Belval","edf1bt","15","M","76.6","1.84"
"474","Belval","edf1bt","15","F","53.5","1.66"
"475","Belval","edf1bt","15","F","44.9","1.57"
"476","Belval","edf1bt","15","M","94.3","1.84"
"477","Belval","edf1bt","15","M","53.7","1.81"
"478","Belval","edf1bt","16","M","64.6","1.77"
"479","Belval","edf1bt","15","M","64.9","1.68"
"480","Belval","edf1bt","16","M","68.3","1.77"
"481","Belval","edf1bt","15","M","68.3","1.73"
"482","Belval","edf1bt","15","F","",""
"483","Belval","edf1bt","15","M","38.6","1.59"
"484","Belval","edf1bt","15","F","59.9","1.65"
"485","Belval","edf1bt","16","M","86.3","1.77"
"486","Belval","edf1bt","15","M","47.7","1.63"
"487","Belval","edf1bt","16","M","48","1.65"
"488","Belval","edf1bt","16","M","62","1.76"
"489","Belval","edf1bt","15","M","60","1.8"
"490","Belval","edf1bt","16","F","80.1","1.72"
"491","Belval","edf1bt","16","F","55.6","1.61"
"492","Belval","edf1bt","15","F","",""
"493","Belval","edf1bt","17","M","57.1","1.82"
"494","Belval","edf1bt","16","M","",""
"495","Belval","edf1bt","16","F","47.6","1.71"
"496","Belval","edf1bt","15","M","82.1","1.78"
"497","Belval","edf1bt","16","M","51.5","1.78"
"498","Belval","edf1bt","16","M","",""
"499","Belval","edf1bt","15","M","43.6","1.63"
"500","Belval","edf1ct","16","F","64.6","1.61"
"501","Belval","edf1ct","16","M","60.3","1.73"
"502","Belval","edf1ct","16","M","54.8","1.7"
"503","Belval","edf1ct","16","M","63.4","1.7"
"504","Belval","edf1ct","16","M","50.4","1.68"
"505","Belval","edf1ct","16","F","50.7","1.7"
"506","Belval","edf1ct","16","M","56.5","1.72"
"507","Belval","edf1ct","16","M","",""
"508","Belval","edf1ct","15","M","91.1","1.79"
"509","Belval","edf1ct","15","F","54.4","1.59"
"510","Belval","edf1ct","15","M","50.9","1.6"
"511","Belval","edf1ct","15","M","52.4","1.7"
"512","Belval","edf1ct","15","F","47","1.62"
"513","Belval","edf1ct","15","F","66.9","1.64"
"514","Belval","edf1ct","15","F","56.1","1.6"
"515","Belval","edf1ct","15","M","51.6","1.7"
"516","Belval","edf1ct","15","M","65.1","1.83"
"517","Belval","edf1ct","16","M","89.6","1.75"
"518","Belval","edf1ct","15","M","67.6","1.67"
"519","Belval","edf1ct","15","M","63","1.86"
"520","Belval","edf1ct","16","F","61.5","1.68"
"521","Belval","edf1ct","15","F","78.4","1.73"
"522","Belval","edf1ct","16","F","46.9","1.5"
